Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT-TH_L56.3-W16.8-P51.55_BH-AA-A1AJ020,2,14500,C5290181
"C1, C2, C6, C7",0805,4,10uF,C2932476
"C3, C4, C5",0805,3,22uF,C602037
"D1, D2",0805,2,RED,C965812
J1,PinHeader_2x13_P2.54mm_Vertical,1,DISPLAY,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,MICRO-USB-SMD_MICROXNJ_1,1,USB_B_Micro,C404969
L1,IND-SMD_L4.5-W4.1_GSSM0420,1,1uH,C2847468
"R1, R3",0805,2,2R,C114246
"R2, R4",0805,2,200R,C17540
"SW1, SW2, SW3, SW4, SW5, SW6, SW7",SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4_UK-B0233XX,7,G4R152312,C49393646
U1,MODULE_RASPBERRY_PI_ZERO_2_W,1,RASPBERRY_PI_ZERO_2_W,
U2,SOP127P600X165-9N,1,IP5306,C181692
