Designator,Mid X,Mid Y,Rotation,Layer
BT1,63.5,-61.23,90.0,bottom
BT2,144.5,-61.23,90.0,bottom
C1,118.6,-80.6,180.0,top
C2,122.2,-77.0,0.0,top
C3,115.8,-83.4,90.0,top
C4,117.8,-83.4,90.0,top
C5,113.8,-83.45,90.0,top
C6,137.4,-84.95,0.0,top
C7,141.2,-82.8,0.0,top
D1,139.2,-80.4,180.0,top
D2,81.3,-40.0,0.0,top
J1,100.05,-41.23,90.0,top
J2,122.0,-86.195,0.0,top
J3,129.83,-86.84,0.0,top
L1,125.2,-80.6,180.0,top
R1,121.4,-79.8,90.0,top
R2,142.8,-80.4,0.0,top
R3,137.4,-82.8,0.0,top
R4,77.25,-40.0,180.0,top
SW1,65.25,-52.15,0.0,top
SW2,65.25,-64.0,0.0,top
SW3,71.5,-58.15,0.0,top
SW4,59.0,-58.06,0.0,top
SW5,148.0,-53.5,0.0,top
SW6,148.0,-63.56,0.0,top
SW7,98.6,-83.95,0.0,top
U1,109.0,-59.6755,0.0,top
U2,131.745,-79.295,180.0,top
